SR,AuthorID,Affiliation,Country,PersonID
"CRICK JM, 2020, J RURAL STUD",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK JM, 2020, IND MARKET MANAG",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CHAUDHRY SHIV, 2023, INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CHAUDHRY S, 2004, STRATEG CHANG",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CHAUDHRY S, 1998, MARK INTELL PLAN",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"BELL J, 2004, INT SMALL BUS J",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"BELL J, 2003, J INT ENTREP",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"KARAMI M, 2023, J STRATEG MARK",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"FELZENSZTEIN C, 2022, J STRATEG MARK",ORCID:0000-0003-1009-4197,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-1009-4197
"CRICK JM, 2021, INT J ENTREP BEHAV R",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"MAHDI A, 2024, J RURAL STUD",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"MAHDI A, 2024, INT J ENTREP BEHAV R",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"HAMZAH MI, 2023, INT J ENTREP SMALL B",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK JM, 2018, QUAL MARK RES",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK JM, 2020, J BUS RES",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK JM, 2019, J RES MARK ENTREP",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK JM, 2025, J STRATEG MARK",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"ALIAKBARI A, 2025, INT J ENTREP BEHAV R",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"LAMINE W, 2025, INT J ENTREP SMALL B",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"SRAHA G, 2020, J BUS IND MARK",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK JM, 2018, EDUC TRAIN",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK JM, 2016, STRATEG CHANG",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK D, 2018, QUAL MARK RES",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK D, 2016, STRATEG CHANG",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK D, 2016, QUAL MARK RES",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK D, 2016, MARK INTELL PLAN",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK D, 2016, J STRATEG MARK",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK D, 2015, MARK INTELL PLAN",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK D, 2014, EUR BUS REV",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK JM, 2018, INT J WINE BUS RES",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK JM, 2018, J RES MARK ENTREP",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK JM, 2021, J INT MARKETING",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK JM, 2025, INT J ENTREP BEHAV R",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK JM, 2024, J STRATEG MARK",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK JM, 2024, J RES MARK ENTREP",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK JM, 2023, J STRATEG MARK",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK JM, 2023, INT SMALL BUS J",ORCID:0000-0002-2137-6037,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-2137-6037
"CRICK JM, 2023, INT J ENTREP SMALL B",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK JM, 2023, IND MARKET MANAG",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK JM, 2022, J STRATEG MARK",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK JM, 2022, INT J ENTREP BEHAV R",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK JM, 2022, IND MARKET MANAG",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK JM, 2021, J STRATEG MARK",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK JM, 2021, J BUS RES",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK JM, 2021, J BUS IND MARK",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK JM, 2021, INT MARKET REV",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK JM, 2021, IND MARKET MANAG",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK JM, 2021, EDUC TRAIN",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK JM, 2020, J RURAL STUD",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK JM, 2020, IND MARKET MANAG",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CRICK JM, 2019, J BUS IND MARK",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"CHAUDHRY SHIV, 2023, INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"KARAMI M, 2023, J STRATEG MARK",ORCID:0000-0002-6286-116X,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-6286-116X
"EGGERS F, 2020, J BUS RES",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"SCHMENGLER K, 2010, INT J ENTREP VENTUR",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"NIEMAND T, 2021, EUR MANAG J",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"PINELLI M, 2022, J SMALL BUS ENTERP D",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"KRAUS S, 2009, INT J BUSINESS SCI A",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"KRAUS SASCHA, 2010, INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP AND INNOVATION MANAGEMENT",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"KRAUS S, 2023, TECHNOL FORECAST SOC",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"KRAUS S, 2022, INT J INFORM MANAGE",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"KRAUS S, 2022, INT J ENTREP BEHAV R",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"KRAUS S, 2020, INT J ENTREP BEHAV R",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"KRAUS S, 2019, INT J ENTREP BEHAV R",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"KRAUS S, 2018, JOURNAL OF PROMOTION MANAGEMENT",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"KRAUS S, 2012, REV MANAG SCI",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"KRAUS S, 2012, J RES MARK ENTREP",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"KOHTAMÄKI M, 2010, INT J ENTREP INNOV",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"VALLASTER CHRISTINE, 2011, INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP AND SMALL BUSINESS",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"WALES WJ, 2021, J BUS RES",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"SCHJOEDT L, 2009, MANAGEMENT RESEARCH REVIEW",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"SEMRAU T, 2016, J BUS RES",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"SCHRÖDER K, 2021, INT J ENTREP BEHAV R",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"CESINGER B, 2012, MANAGE DECIS",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"CALABRÒ A, 2019, INT J MANAG REV",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"BOUNCKEN RB, 2020, LONG RANGE PLANN",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"BOUNCKEN RB, 2018, BRIT J MANAGE",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"BOUNCKEN RB, 2015, REV MANAG SCI",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"BOUNCKEN RB, 2013, J BUS RES",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"BOUNCKEN R, 2015, REV MANAG SCI",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"CRAIG JB, 2014, CREAT INNOV MANAG",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"COVIN JG, 2016, J BUS RES",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"BELIAEVA T, 2020, INT J ENTREP BEHAV R",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"HILLS GERALD E, 2010, INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP AND INNOVATION MANAGEMENT",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"HOCK-DOEPGEN M, 2021, J BUS RES",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"HUGHES MATHEW, 2015, INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP AND SMALL BUSINESS",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"HUGHES M, 2018, BRIT J MANAGE",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"EGGERS F, 2020, TECHNOL FORECAST SOC",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"EGGERS F, 2017, J SMALL BUS MANAGE",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"EGGERS F, 2014, IND MARKET MANAG",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"EGGERS F, 2013, MANAGE DECIS",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"EGGERS F, 2013, J WORLD BUS",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"FERREIRA JJM, 2019, REV MANAG SCI",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"FELLNHOFER K, 2014, INTERNATIONAL JOURNAL OF BUSINESS RESEARCH",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"GILMORE A, 2012, INT ENTREP MANAG J",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"FILSER M, 2014, J E EUR MANAG STUD",ORCID:0000-0003-4886-7482,NO AFFILIATION,NO COUNTRY,ORCID:0000-0003-4886-7482
"MILES M, 2015, J STRATEG MARK",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"JENSON I, 2020, J BUS RES",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"HO KLP, 2022, J INNOV KNOWL",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"MILES MP, 2016, J STRATEG MARK",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"FILLIS I, 2017, J VACAT MARK",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"MORRISH SC, 2010, J STRATEG MARK",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"HILLS GE, 2008, J SMALL BUS MANAGE",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"GILMORE A, 2020, J BUS RES",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"MILES MP, 2006, EUR J MARKETING",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"NAKKU VB, 2020, J SMALL BUS MANAGE",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"MILES MORGANP, 1991, ENTREPRENEURSHIP THEORY AND PRACTICE",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"MILES MP, 2002, ENTREP THEORY PRACT",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"MILES MP, 2020, SMALL BUS ECON",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"MILES MP, 2017, EDUC TRAIN",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"MILES MP, 2011, J RES MARK ENTREP",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"MILES MP, 2008, J SMALL BUS MANAGE",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"MILES MP, 2003, TECHNOVATION",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"MORRISH S, 2015, SUSTAINABLE GLOBAL M",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"LEHMAN K, 2014, J RES MARK ENTREP",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"LEWIS G, 2014, J RES MARK ENTREP",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"MEHLHORN JE, 2015, J DEV ENTREP",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"VITALE R, 2004, JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"SHEPHERD CD, 2010, J RES MARK ENTREP",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"BONNEY L, 2013, J DEV ENTREP",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"COVIN JG, 2007, ENTREP THEORY PRACT",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"COVIN JG, 1999, ENTREPRENEURSHIP THEORY AND PRACTICE",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"DARROCH J, 2005, TECHNOVATION",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"DARROCH J, 2011, J BUS RES",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"ADHIKARI RP, 2018, SMALL ENTERP RES",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"AHMADI H, 2014, J BUS RES",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"HO KLP, 2018, J INNOV KNOWL",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"HO KLP, 2019, J INNOV KNOWL",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"KASOUF CJ, 2015, INT ENTREP MANAG J",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"KASOUF CJ, 2009, J RES MARK ENTREP",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"JENSON I, 2016, J BUS RES",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"EDWARDS J, 2023, J BUS RES",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"DUNG TQ, 2021, J BUS RES",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"DUNG TQ, 2020, SUPPLY CHAIN MANAG",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"GILMORE A, 2012, INT ENTREP MANAG J",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"GRIMMER L, 2017, J SMALL BUS MANAGE",ORCID:0000-0002-1389-1856,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-1389-1856
"FILLIS I, 2023, J RES MARK ENTREP",OA:A5080915308,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-8735-0948
"FILLIS I, 2017, J VACAT MARK",OA:A5080915308,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-8735-0948
"FILLIS I, 2015, INT J ENTREP BEHAV R",OA:A5080915308,NO AFFILIATION,NO COUNTRY,ORCID:0000-0002-8735-0948
