Id,Label,PersonID,AuthorFullName,AuthorName,Orcid,OpenAlexAuthorID,AuthorID,ResearcherID,Email
NAME:ADEWALE|AA,ABIDEEN ADEYEMI ADEWALE,NAME:ADEWALE|AA,ABIDEEN ADEYEMI ADEWALE,ADEWALE A.A.,,,NAME:ABIDEEN_ADEYEMI_ADEWALE,,
NAME:ADOLPHS|C,CHRISTOPH ADOLPHS,NAME:ADOLPHS|C,CHRISTOPH ADOLPHS,ADOLPHS C.,,,NAME:CHRISTOPH_ADOLPHS,,
NAME:AFIFAH|N,NUR AFIFAH,NAME:AFIFAH|N,NUR AFIFAH,AFIFAH N.,,,NAME:NUR_AFIFAH,,
"NAME:AFIFF, ADI ZAKARIA","AFIFF, ADI ZAKARIA","NAME:AFIFF, ADI ZAKARIA","AFIFF, ADI ZAKARIA",AFIFF AZ,,,NAME:AFIFF_ADI_ZAKARIA,,ADI.ZAKARIA@UI.AC.ID
NAME:AFIFF|AZ,ADI ZAKARIA AFIFF,NAME:AFIFF|AZ,ADI ZAKARIA AFIFF,AFIFF A.Z.,,,NAME:ADI_ZAKARIA_AFIFF,,
NAME:AFTAB|U,UMAIR AFTAB,NAME:AFTAB|U,UMAIR AFTAB,AFTAB U.,,,NAME:UMAIR_AFTAB,,
NAME:AHMADY|A,ABDOLLAH AHMADY,NAME:AHMADY|A,ABDOLLAH AHMADY,AHMADY A.,,,NAME:ABDOLLAH_AHMADY,,
NAME:AHMAD|J,JAMIL AHMAD,NAME:AHMAD|J,JAMIL AHMAD,AHMAD J.,,,NAME:JAMIL_AHMAD,,
NAME:AHMAD|MS,MOHD SHARIFUDDIN AHMAD,NAME:AHMAD|MS,MOHD SHARIFUDDIN AHMAD,AHMAD M.S.,,,NAME:MOHD_SHARIFUDDIN_AHMAD,,
NAME:AHMED|D,DUNYA AHMED,NAME:AHMED|D,DUNYA AHMED,AHMED D.,,,NAME:DUNYA_AHMED,,
NAME:AHMED|SA,SYED ALI AHMED,NAME:AHMED|SA,SYED ALI AHMED,AHMED S.A.,,,NAME:SYED_ALI_AHMED,,
NAME:AHRENS|TJ,THOMAS J. AHRENS,NAME:AHRENS|TJ,THOMAS J. AHRENS,AHRENS T.J.,,,NAME:THOMAS_J_AHRENS,,
"NAME:AKHTAR, SHAMIM","AKHTAR, SHAMIM","NAME:AKHTAR, SHAMIM","AKHTAR, SHAMIM",AKHTAR S,,,NAME:AKHTAR_SHAMIM,KRP-1982-2024,SHAMIMAKHTAR92@HOTMAIL.COM
NAME:AKHTAR|MS,"AKHTAR, MOHAMMAD SHAMIM",NAME:AKHTAR|MS,"AKHTAR, MOHAMMAD SHAMIM","AKHTAR, S.",,,NAME:AKHTAR_MOHAMMAD_SHAMIM,57202210523.0,
NAME:AKIB|H,HAEDAR AKIB,NAME:AKIB|H,HAEDAR AKIB,AKIB H.,,,NAME:HAEDAR_AKIB,,
NAME:AKPOANU|C,CHINENYE AKPOANU,NAME:AKPOANU|C,CHINENYE AKPOANU,AKPOANU C.,,,NAME:CHINENYE_AKPOANU,,
NAME:AKYUREK|BK,BERRAK KIRBAS AKYUREK,NAME:AKYUREK|BK,BERRAK KIRBAS AKYUREK,AKYÜREK B.K.,,,NAME:BERRAK_KIRBAŞ_AKYÜREK,,
NAME:AL ATRASH|SA,SHARIEF AHMAD AL-ATRASH,NAME:AL ATRASH|SA,SHARIEF AHMAD AL-ATRASH,AL-ATRASH S.A.,,,NAME:SHARIEF_AHMAD_AL-ATRASH,,
NAME:AL GHWAYEEN|WS,WAFAA SHIHADEH AL-GHWAYEEN,NAME:AL GHWAYEEN|WS,WAFAA SHIHADEH AL-GHWAYEEN,AL-GHWAYEEN W.S.,,,NAME:WAFAA_SHIHADEH_AL-GHWAYEEN,,
NAME:AL HAWARY|SI,SULIEMAN I. AL-HAWARY,NAME:AL HAWARY|SI,SULIEMAN I. AL-HAWARY,AL-HAWARY S.I.,,,NAME:SULIEMAN_I_AL-HAWARY,,
NAME:AL HAWARY|SIS,SULIEMAN IBRAHEEM SHELASH AL-HAWARY,NAME:AL HAWARY|SIS,SULIEMAN IBRAHEEM SHELASH AL-HAWARY,AL-HAWARY S.I.S.,,,NAME:SULIEMAN_IBRAHEEM_SHELASH_AL-HAWARY,,
NAME:ALAJRAMI|E,EMAN ALAJRAMI,NAME:ALAJRAMI|E,EMAN ALAJRAMI,ALAJRAMI E.,,,NAME:EMAN_ALAJRAMI,,
NAME:ALASHQAR|BAM,BELAL A. M. ALASHQAR,NAME:ALASHQAR|BAM,BELAL A. M. ALASHQAR,ALASHQAR B.A.M.,,,NAME:BELAL_A_M_ALASHQAR,,
NAME:ALATHAMNEH|FF,FARAH FAISAL ALATHAMNEH,NAME:ALATHAMNEH|FF,FARAH FAISAL ALATHAMNEH,ALATHAMNEH F.F.,,,NAME:FARAH_FAISAL_ALATHAMNEH,,
NAME:ALAVIDOOST|M,M.H. ALAVIDOOST,NAME:ALAVIDOOST|M,M.H. ALAVIDOOST,ALAVIDOOST M.,,,NAME:MH_ALAVIDOOST,,
NAME:ALBAHUSSAIN|SA,SAMI ABDULLAH ALBAHUSSAIN,NAME:ALBAHUSSAIN|SA,SAMI ABDULLAH ALBAHUSSAIN,ALBAHUSSAIN S.A.,,,NAME:SAMI_ABDULLAH_ALBAHUSSAIN,,
NAME:ALCIVAR|KGZ,KATTY GISELLA ZAMBRANO ALCIVAR,NAME:ALCIVAR|KGZ,KATTY GISELLA ZAMBRANO ALCIVAR,ALCÍVAR K.G.Z.,,,NAME:KATTY_GISELLA_ZAMBRANO_ALCÍVAR,,
NAME:ALDIABAT|K,KHALDOUN ALDIABAT,NAME:ALDIABAT|K,KHALDOUN ALDIABAT,ALDIABAT K.,,,NAME:KHALDOUN_ALDIABAT,,
NAME:ALGINA|J,JAMES ALGINA,NAME:ALGINA|J,JAMES ALGINA,ALGINA J.,,,NAME:JAMES_ALGINA,,
NAME:ALHAFIDH|G,GAIL ALHAFIDH,NAME:ALHAFIDH|G,GAIL ALHAFIDH,ALHAFIDH G.,,,NAME:GAIL_ALHAFIDH,,
NAME:ALHOULI|A,"ALHOULI, AREEJ",NAME:ALHOULI|A,"ALHOULI, AREEJ","ALHOULI, A.",,,NAME:ALHOULI_AREEJ,57891466300.0,
NAME:ALJANABI|AQRA,ABDUL QADIR RAHOMEE AHMED ALJANABI,NAME:ALJANABI|AQRA,ABDUL QADIR RAHOMEE AHMED ALJANABI,ALJANABI A.Q.R.A.,,,NAME:ABDUL_QADIR_RAHOMEE_AHMED_ALJANABI,,
NAME:ALLEN|J,JEFFREY ALLEN,NAME:ALLEN|J,JEFFREY ALLEN,ALLEN J.,,,NAME:JEFFREY_ALLEN,,
NAME:ALLES|MDLLF,MARIA DE LA LUZ FERNANDEZ ALLES,NAME:ALLES|MDLLF,MARIA DE LA LUZ FERNANDEZ ALLES,ALLES M.D.L.L.F.,,,NAME:MARÍA_DE_LA_LUZ_FERNÁNDEZ_ALLES,,
NAME:ALLISON|P,PETE ALLISON,NAME:ALLISON|P,PETE ALLISON,ALLISON P.,,,NAME:PETE_ALLISON,,
NAME:ALLRED|B,BRENT ALLRED,NAME:ALLRED|B,BRENT ALLRED,ALLRED B.,,,NAME:BRENT_ALLRED,,
NAME:ALMARSHAD|MN,MOHAMMAD N. ALMARSHAD,NAME:ALMARSHAD|MN,MOHAMMAD N. ALMARSHAD,ALMARSHAD M.N.,,,NAME:MOHAMMAD_N_ALMARSHAD,,
NAME:ALNEIMAT|S,SULEIMAN ALNEIMAT,NAME:ALNEIMAT|S,SULEIMAN ALNEIMAT,ALNEIMAT S.,,,NAME:SULEIMAN_ALNEIMAT,,
NAME:ALOE|AM,ARIEL M. ALOE,NAME:ALOE|AM,ARIEL M. ALOE,ALOE A.M.,,,NAME:ARIEL_M_ALOE,,
NAME:ALPI|S,SHARON ALPI,NAME:ALPI|S,SHARON ALPI,ALPI S.,,,NAME:SHARON_ALPI,,
NAME:ALSABAHI|M,MANSOOR ALSABAHI,NAME:ALSABAHI|M,MANSOOR ALSABAHI,ALSABAHI M.,,,NAME:MANSOOR_ALSABAHI,,
NAME:ALSHAER|SA,SAWSAN A. ALSHAER,NAME:ALSHAER|SA,SAWSAN A. ALSHAER,ALSHAER S.A.,,,NAME:SAWSAN_A_ALSHAER,,
NAME:ALSHALABI|FS,FERAS S. ALSHALABI,NAME:ALSHALABI|FS,FERAS S. ALSHALABI,ALSHALABI F.S.,,,NAME:FERAS_S_ALSHALABI,,
NAME:ALSHORMAN|M,MAJD ALSHORMAN,NAME:ALSHORMAN|M,MAJD ALSHORMAN,ALSHORMAN M.,,,NAME:MAJD_ALSHORMAN,,
NAME:ALSTEDE|YBAH,"ALSTEDE, YAM B. A. HUSSEIN",NAME:ALSTEDE|YBAH,"ALSTEDE, YAM B. A. HUSSEIN",ALSTEDE YBAH,,,NAME:ALSTEDE_YAM_B_A_HUSSEIN,,
NAME:ALTAHRAWI|MHA,MUJAHED HANI ALI ALTAHRAWI,NAME:ALTAHRAWI|MHA,MUJAHED HANI ALI ALTAHRAWI,ALTAHRAWI M.H.A.,,,NAME:MUJAHED_HANI_ALI_ALTAHRAWI,,
NAME:ALTAMIMI|D,DIANA ALTAMIMI,NAME:ALTAMIMI|D,DIANA ALTAMIMI,ALTAMIMI D.,,,NAME:DIANA_ALTAMIMI,,
NAME:ALWI|SFS,SHARIFAH FARIDAH SYED ALWI,NAME:ALWI|SFS,SHARIFAH FARIDAH SYED ALWI,ALWI S.F.S.,,,NAME:SHARIFAH_FARIDAH_SYED_ALWI,,
NAME:AMIN|H,"AMIN, HAMASA",NAME:AMIN|H,"AMIN, HAMASA","AMIN, H.",,,NAME:AMIN_HAMASA,58513939000.0,
NAME:AMODEI|D,DARIO AMODEI,NAME:AMODEI|D,DARIO AMODEI,AMODEI D.,,,NAME:DARIO_AMODEI,,
NAME:AMPONSTIRA|F,FUANGFA AMPONSTIRA,NAME:AMPONSTIRA|F,FUANGFA AMPONSTIRA,AMPONSTIRA F.,,,NAME:FUANGFA_AMPONSTIRA,,
NAME:ANAND|A,AMITABH ANAND,NAME:ANAND|A,AMITABH ANAND,ANAND A.,,,NAME:AMITABH_ANAND,,
NAME:ANDERSON|NH,NORMAN H. ANDERSON,NAME:ANDERSON|NH,NORMAN H. ANDERSON,ANDERSON N.H.,,,NAME:NORMAN_H_ANDERSON,,
NAME:ANDERSON|RE,"ANDERSON, ROLPH E",NAME:ANDERSON|RE,"ANDERSON, ROLPH E",E A.R.,,,NAME:ANDERSON_ROLPH_E,,
NAME:ANKOMAH|J,JOSEPH ANKOMAH,NAME:ANKOMAH|J,JOSEPH ANKOMAH,ANKOMAH J.,,,NAME:JOSEPH_ANKOMAH,,
NAME:ANN|M,MUCHEMI ANN,NAME:ANN|M,MUCHEMI ANN,ANN M.,,,NAME:MUCHEMI_ANN,,
NAME:ANSARI|M,"ANSARI, MANOUCHEHR",NAME:ANSARI|M,"ANSARI, MANOUCHEHR","ANSARI, M.",,,NAME:ANSARI_MANOUCHEHR,55546625800.0,
NAME:ANTONIO|F,FERDI ANTONIO,NAME:ANTONIO|F,FERDI ANTONIO,ANTONIO F.,,,NAME:FERDI_ANTONIO,,
NAME:APARICIO|S,SEBASTIAN APARICIO,NAME:APARICIO|S,SEBASTIAN APARICIO,APARICIO S.,,,NAME:SEBASTIÁN_APARICIO,,
NAME:APPIAH‐ADU|K,KWAKU APPIAH‐ADU,NAME:APPIAH‐ADU|K,KWAKU APPIAH‐ADU,APPIAH‐ADU K.,,,NAME:KWAKU_APPIAH‐ADU,,
NAME:ARCHAMBEAU|S,SHELLYE ARCHAMBEAU,NAME:ARCHAMBEAU|S,SHELLYE ARCHAMBEAU,ARCHAMBEAU S.,,,NAME:SHELLYE_ARCHAMBEAU,,
NAME:ARDITI|D,DAVID ARDITI,NAME:ARDITI|D,DAVID ARDITI,ARDITI D.,,,NAME:DAVID_ARDITI,,
NAME:ARGOUSLIDIS|PC,PARASKEVAS C. ARGOUSLIDIS,NAME:ARGOUSLIDIS|PC,PARASKEVAS C. ARGOUSLIDIS,ARGOUSLIDIS P.C.,,,NAME:PARASKEVAS_C_ARGOUSLIDIS,,
NAME:ARIAS OLIVA|M,MARIO ARIAS-OLIVA,NAME:ARIAS OLIVA|M,MARIO ARIAS-OLIVA,ARIAS-OLIVA M.,,,NAME:MARIO_ARIAS-OLIVA,,
NAME:ARUNACHALAM|M,MURUGESH ARUNACHALAM,NAME:ARUNACHALAM|M,MURUGESH ARUNACHALAM,ARUNACHALAM M.,,,NAME:MURUGESH_ARUNACHALAM,,
NAME:ASADI|J,JAMAL ASADI,NAME:ASADI|J,JAMAL ASADI,ASADI J.,,,NAME:JAMAL_ASADI,,
"NAME:ASHRAF, SHEIKH FARHAN","ASHRAF, SHEIKH FARHAN","NAME:ASHRAF, SHEIKH FARHAN","ASHRAF, SHEIKH FARHAN",ASHRAF SF,,,NAME:ASHRAF_SHEIKH_FARHAN,,FHSHEIKH08@YAHOO.COM
NAME:ASHRAFI|A,AMIR ASHRAFI,NAME:ASHRAFI|A,AMIR ASHRAFI,ASHRAFI A.,,,NAME:AMIR_ASHRAFI,,
NAME:ASHRAF|SF,"ASHRAF, SHEIKH FARHAN",NAME:ASHRAF|SF,"ASHRAF, SHEIKH FARHAN","ASHRAF, S.F.",,,NAME:ASHRAF_SHEIKH_FARHAN,57211539833.0,
NAME:ASSIELOU|N,N.G. ASSIELOU,NAME:ASSIELOU|N,N.G. ASSIELOU,ASSIELOU N.,,,NAME:NG_ASSIELOU,,
NAME:ATWAL|H,HEENA ATWAL,NAME:ATWAL|H,HEENA ATWAL,ATWAL H.,,,NAME:HEENA_ATWAL,,
NAME:AUER|J,JOHANN AUER,NAME:AUER|J,JOHANN AUER,AUER J.,,,NAME:JOHANN_AUER,,
NAME:AUFAURE|MA,MARIE-AUDE AUFAURE,NAME:AUFAURE|MA,MARIE-AUDE AUFAURE,AUFAURE M.,,,NAME:MARIE-AUDE_AUFAURE,,
NAME:AUKA|D,DANIEL AUKA,NAME:AUKA|D,DANIEL AUKA,AUKA D.,,,NAME:DANIEL_AUKA,,
NAME:AVRAM|DO,DANIELA ORTIZ AVRAM,NAME:AVRAM|DO,DANIELA ORTIZ AVRAM,AVRAM D.O.,,,NAME:DANIELA_ORTIZ_AVRAM,,
NAME:AWUAH|JB,JACOB BAFFOUR AWUAH,NAME:AWUAH|JB,JACOB BAFFOUR AWUAH,AWUAH J.B.,,,NAME:JACOB_BAFFOUR_AWUAH,,
NAME:AYAYI|AG,AYI GAVRIEL AYAYI,NAME:AYAYI|AG,AYI GAVRIEL AYAYI,AYAYI A.G.,,,NAME:AYI_GAVRIEL_AYAYI,,
NAME:AYAZI|S,SEYYED AYAZI,NAME:AYAZI|S,SEYYED AYAZI,AYAZI S.,,,NAME:SEYYED_AYAZI,,
NAME:AZIS|Y,YUDI AZIS,NAME:AZIS|Y,YUDI AZIS,AZIS Y.,,,NAME:YUDI_AZIS,,
NAME:AZIZI|S,SHAHRIAR AZIZI,NAME:AZIZI|S,SHAHRIAR AZIZI,AZIZI S.,,,NAME:SHAHRIAR_AZIZI,,
NAME:AZIZ|A,"AZIZ, ATIF",NAME:AZIZ|A,"AZIZ, ATIF","AZIZ, A.",,,NAME:AZIZ_ATIF,57216297425.0,
NAME:A|AK,ANANDA KUMAR A,NAME:A|AK,ANANDA KUMAR A,A A.K.,,,NAME:ANANDA_KUMAR_A,,
NAME:BABAZADEH|H,HOSSEIN BABAZADEH,NAME:BABAZADEH|H,HOSSEIN BABAZADEH,BABAZADEH H.,,,NAME:HOSSEIN_BABAZADEH,,
"NAME:BACHTIAR, SIMAMORA H","BACHTIAR, SIMAMORA H","NAME:BACHTIAR, SIMAMORA H","BACHTIAR, SIMAMORA H",BACHTIAR SH,,,NAME:BACHTIAR_SIMAMORA_H,,BSIMAMORA@BINUS.EDU
NAME:BACHTIAR|SH,SIMAMORA H. BACHTIAR,NAME:BACHTIAR|SH,SIMAMORA H. BACHTIAR,BACHTIAR S.H.,,,NAME:SIMAMORA_H_BACHTIAR,,
NAME:BADWELAN|A,AHMED BADWELAN,NAME:BADWELAN|A,AHMED BADWELAN,BADWELAN A.,,,NAME:AHMED_BADWELAN,,
NAME:BAHRAMI|H,HOMA BAHRAMI,NAME:BAHRAMI|H,HOMA BAHRAMI,BAHRAMI H.,,,NAME:HOMA_BAHRAMI,,
NAME:BAIN|JS,JOE S. BAIN,NAME:BAIN|JS,JOE S. BAIN,BAIN J.S.,,,NAME:JOE_S_BAIN,,
NAME:BAKHSHI|H,HASAN BAKHSHI,NAME:BAKHSHI|H,HASAN BAKHSHI,BAKHSHI H.,,,NAME:HASAN_BAKHSHI,,
NAME:BAKHSH|MM,"BAKHSH, MAHSA MASHAYEKH",NAME:BAKHSH|MM,"BAKHSH, MAHSA MASHAYEKH",BAKHSH MM,,,NAME:BAKHSH_MAHSA_MASHAYEKH,,
NAME:BAKOUROS|I,IOANNIS BAKOUROS,NAME:BAKOUROS|I,IOANNIS BAKOUROS,BAKOUROS I.,,,NAME:IOANNIS_BAKOUROS,,
NAME:BALAGUER|A,ANTONIO BALAGUER,NAME:BALAGUER|A,ANTONIO BALAGUER,BALAGUER A.,,,NAME:ANTONIO_BALAGUER,,
NAME:BALL|S,STEVE BALL,NAME:BALL|S,STEVE BALL,BALL S.,,,NAME:STEVE_BALL,,
NAME:BAMFORD|CE,CHARLES E. BAMFORD,NAME:BAMFORD|CE,CHARLES E. BAMFORD,BAMFORD C.E.,,,NAME:CHARLES_E_BAMFORD,,
NAME:BANDUR|A,AGUSTINUS BANDUR,NAME:BANDUR|A,AGUSTINUS BANDUR,BANDUR A.,,,NAME:AGUSTINUS_BANDUR,,
NAME:BANIHASHEMI|T,"BANIHASHEMI, TA",NAME:BANIHASHEMI|T,"BANIHASHEMI, TA",(15693386) B.T.,,,NAME:BANIHASHEMI_TA,15693386.0,
NAME:BARBATO|R,ROBERT BARBATO,NAME:BARBATO|R,ROBERT BARBATO,BARBATO R.,,,NAME:ROBERT_BARBATO,,
NAME:BARHAM|J,JAMES BARHAM,NAME:BARHAM|J,JAMES BARHAM,BARHAM J.,,,NAME:JAMES_BARHAM,,
NAME:BARKENSJO|A,ANNA BARKENSJO,NAME:BARKENSJO|A,ANNA BARKENSJO,BARKENSJO A.,,,NAME:ANNA_BARKENSJO,,
NAME:BARRAKET|J,JO BARRAKET,NAME:BARRAKET|J,JO BARRAKET,BARRAKET J.,,,NAME:JO_BARRAKET,,
NAME:BARRINGER|BR,BRUCE R. BARRINGER,NAME:BARRINGER|BR,BRUCE R. BARRINGER,BARRINGER B.R.,,,NAME:BRUCE_R_BARRINGER,,
NAME:BARRON|KE,KENNETH E. BARRON,NAME:BARRON|KE,KENNETH E. BARRON,BARRON K.E.,,,NAME:KENNETH_E_BARRON,,
NAME:BARTELS|R,ROBERT BARTELS,NAME:BARTELS|R,ROBERT BARTELS,BARTELS R.,,,NAME:ROBERT_BARTELS,,
NAME:BARTLETT|S,STEVE BARTLETT,NAME:BARTLETT|S,STEVE BARTLETT,BARTLETT S.,,,NAME:STEVE_BARTLETT,,
NAME:BARUAH|N,NILIM BARUAH,NAME:BARUAH|N,NILIM BARUAH,BARUAH N.,,,NAME:NILIM_BARUAH,,
NAME:BASKARAN|S,SHRUTHI BASKARAN,NAME:BASKARAN|S,SHRUTHI BASKARAN,BASKARAN S.,,,NAME:SHRUTHI_BASKARAN,,
NAME:BASS|FM,FRANK M. BASS,NAME:BASS|FM,FRANK M. BASS,BASS F.M.,,,NAME:FRANK_M_BASS,,
NAME:BATHKE|AC,ARNE C. BATHKE,NAME:BATHKE|AC,ARNE C. BATHKE,BATHKE A.C.,,,NAME:ARNE_C_BATHKE,,
NAME:BAYER|M,MARK BAYER,NAME:BAYER|M,MARK BAYER,BAYER M.,,,NAME:MARK_BAYER,,
NAME:BEAL|N,NICOLAS BEAL,NAME:BEAL|N,NICOLAS BEAL,BEAL N.,,,NAME:NICOLAS_BEAL,,
NAME:BEARD|S,SJ BEARD,NAME:BEARD|S,SJ BEARD,BEARD S.,,,NAME:SJ_BEARD,,
NAME:BEARE|S,STEWE BEARE,NAME:BEARE|S,STEWE BEARE,BEARE S.,,,NAME:STEWE_BEARE,,
NAME:BEAUCHAMP|MB,MICHELLE BEDNARZ BEAUCHAMP,NAME:BEAUCHAMP|MB,MICHELLE BEDNARZ BEAUCHAMP,BEAUCHAMP M.B.,,,NAME:MICHELLE_BEDNARZ_BEAUCHAMP,,
NAME:BECHKOFF|J,JENNIFER BECHKOFF,NAME:BECHKOFF|J,JENNIFER BECHKOFF,BECHKOFF J.,,,NAME:JENNIFER_BECHKOFF,,
NAME:BECKER|BJ,BETSY JANE BECKER,NAME:BECKER|BJ,BETSY JANE BECKER,BECKER B.J.,,,NAME:BETSY_JANE_BECKER,,
NAME:BECK|T,THORSTEN BECK,NAME:BECK|T,THORSTEN BECK,BECK T.,,,NAME:THORSTEN_BECK,,
NAME:BEHRENS|DM,DEAN M. BEHRENS,NAME:BEHRENS|DM,DEAN M. BEHRENS,BEHRENS D.M.,,,NAME:DEAN_M_BEHRENS,,
NAME:BELFIELD|H,HAYDN BELFIELD,NAME:BELFIELD|H,HAYDN BELFIELD,BELFIELD H.,,,NAME:HAYDN_BELFIELD,,
NAME:BELL|EL,ELLA LOUISE BELL,NAME:BELL|EL,ELLA LOUISE BELL,BELL E.L.,,,NAME:ELLA_LOUISE_BELL,,
NAME:BENALLA|O,OUALID BENALLA,NAME:BENALLA|O,OUALID BENALLA,BENALLA O.,,,NAME:OUALID_BENALLA,,
NAME:BENDER|FE,FILMORE E. BENDER,NAME:BENDER|FE,FILMORE E. BENDER,BENDER F.E.,,,NAME:FILMORE_E_BENDER,,
NAME:BENNETT|R,ROGER BENNETT,NAME:BENNETT|R,ROGER BENNETT,BENNETT R.,,,NAME:ROGER_BENNETT,,
NAME:BENSON|CC,CHRISTINA C. BENSON,NAME:BENSON|CC,CHRISTINA C. BENSON,BENSON C.C.,,,NAME:CHRISTINA_C_BENSON,,
NAME:BERACS|J,JOZSEF BERACS,NAME:BERACS|J,JOZSEF BERACS,BERÁCS J.,,,NAME:JÓZSEF_BERÁCS,,
NAME:BERGER|ES,ELISABETH S.C. BERGER,NAME:BERGER|ES,ELISABETH S.C. BERGER,BERGER E.S.,,,NAME:ELISABETH_SC_BERGER,,
NAME:BERNARDA|G,GREG BERNARDA,NAME:BERNARDA|G,GREG BERNARDA,BERNARDA G.,,,NAME:GREG_BERNARDA,,
NAME:BERNARDINO|S,SUSANA BERNARDINO,NAME:BERNARDINO|S,SUSANA BERNARDINO,BERNARDINO S.,,,NAME:SUSANA_BERNARDINO,,
NAME:BERNARTO|I,INNOCENTIUS BERNARTO,NAME:BERNARTO|I,INNOCENTIUS BERNARTO,BERNARTO I.,,,NAME:INNOCENTIUS_BERNARTO,,
NAME:BERNOFF|J,JOSH BERNOFF,NAME:BERNOFF|J,JOSH BERNOFF,BERNOFF J.,,,NAME:JOSH_BERNOFF,,
NAME:BERNSTEIN|IH,"BERNSTEIN, IRA H",NAME:BERNSTEIN|IH,"BERNSTEIN, IRA H",H. B.I.,,,NAME:BERNSTEIN_IRA_H,,
NAME:BERRILL|J,JENNY BERRILL,NAME:BERRILL|J,JENNY BERRILL,BERRILL J.,,,NAME:JENNY_BERRILL,,
NAME:BETZ|AL,ANDREW L. BETZ,NAME:BETZ|AL,ANDREW L. BETZ,BETZ A.L.,,,NAME:ANDREW_L_BETZ,,
NAME:BHATTACHARYA|J,JAYANTA BHATTACHARYA,NAME:BHATTACHARYA|J,JAYANTA BHATTACHARYA,BHATTACHARYA J.,,,NAME:JAYANTA_BHATTACHARYA,,
NAME:BHATTI|MA,MUHAMMAD AWAIS BHATTI,NAME:BHATTI|MA,MUHAMMAD AWAIS BHATTI,BHATTI M.A.,,,NAME:MUHAMMAD_AWAIS_BHATTI,,
